country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","30-11-2025 23:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","30-11-2025 23:00:00",21.219665,81.630094,SO2,7,27,10
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","30-11-2025 23:00:00",22.118125,83.140608,PM10,43,104,70
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","30-11-2025 23:00:00",22.368195,82.746431,CO,22,32,27
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","30-11-2025 23:00:00",22.348441,82.549611,NO2,40,55,48
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","30-11-2025 23:00:00",22.348441,82.549611,CO,22,39,31
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","30-11-2025 23:00:00",21.185571,81.343175,NO2,16,28,26
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","30-11-2025 23:00:00",22.08815,82.13737,NO2,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","30-11-2025 23:00:00",22.08815,82.13737,SO2,9,35,15
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","30-11-2025 23:00:00",22.08815,82.13737,CO,4,80,24
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","30-11-2025 23:00:00",21.237755,81.705301,NO2,18,24,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","30-11-2025 23:00:00",21.237755,81.705301,SO2,7,8,8
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","30-11-2025 23:00:00",22.06631475,83.33820077,SO2,5,20,8
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","30-11-2025 23:00:00",22.126650,83.483212,NO2,14,41,26
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","30-11-2025 23:00:00",21.371751,81.664929,PM10,54,148,98
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","30-11-2025 23:00:00",30.751462,76.762879,OZONE,1,81,38
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","30-11-2025 23:00:00",30.719859,76.738637,NO2,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","30-11-2025 23:00:00",28.498571,77.264840,PM2.5,127,358,302
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","30-11-2025 23:00:00",28.498571,77.264840,PM10,139,320,213
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","30-11-2025 23:00:00",28.4706914,77.1099364,PM10,145,263,209
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","30-11-2025 23:00:00",28.647622,77.3158090,NO2,58,189,122
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","30-11-2025 23:00:00",28.695381,77.181665,SO2,19,39,29
India,Delhi,Delhi,"DTU, Delhi - CPCB","30-11-2025 23:00:00",28.7500499,77.1112615,PM2.5,123,382,298
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","30-11-2025 23:00:00",28.695381,77.181665,NH3,6,7,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","30-11-2025 23:00:00",28.815329,77.153010,CO,99,117,108
India,Delhi,Delhi,"Alipur, Delhi - DPCC","30-11-2025 23:00:00",28.815329,77.153010,NO2,24,111,56
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","30-11-2025 23:00:00",28.6811736,77.3025234,NH3,9,12,10
India,Delhi,Delhi,"ITO, Delhi - CPCB","30-11-2025 23:00:00",28.628624,77.241060,PM2.5,121,363,297
India,Delhi,Delhi,"ITO, Delhi - CPCB","30-11-2025 23:00:00",28.628624,77.241060,SO2,11,28,19
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","30-11-2025 23:00:00",28.580280,77.233829,OZONE,6,7,7
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","30-11-2025 23:00:00",28.611281,77.237738,SO2,5,21,10
India,Delhi,Delhi,"Mundka, Delhi - DPCC","30-11-2025 23:00:00",28.684678,77.076574,PM2.5,147,443,331
India,Delhi,Delhi,"Mundka, Delhi - DPCC","30-11-2025 23:00:00",28.684678,77.076574,PM10,109,413,204
India,Delhi,Delhi,"Mundka, Delhi - DPCC","30-11-2025 23:00:00",28.684678,77.076574,CO,39,98,66
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","30-11-2025 23:00:00",28.611281,77.237738,OZONE,7,108,42
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","30-11-2025 23:00:00",28.498571,77.264840,OZONE,7,45,21
